time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293158.745839,79,147,255,255,255,255,12,23,255,18,228,43,106,255,4,227,232,22,45,245
1773293158.895844,159,36,255,255,255,255,12,22,255,18,239,41,106,255,4,227,96,23,45,245
1773293159.045959,239,182,255,255,255,255,12,14,255,18,251,40,106,255,4,227,218,23,45,245
1773293159.197394,63,71,255,0,0,0,3,0,255,34,5,38,105,255,4,227,68,24,45,245
1773293159.347593,143,217,255,255,255,255,2,1,255,34,8,38,105,255,4,227,88,24,45,245
1773293159.4973922,223,106,255,255,255,255,9,15,255,34,8,38,104,255,4,227,88,24,45,245
1773293159.6474612,47,251,255,255,255,254,9,18,255,34,8,38,104,255,4,227,93,24,45,245
1773293159.7977338,127,140,255,255,255,255,7,15,255,34,19,36,103,255,4,227,214,24,45,245
1773293159.9476302,207,30,255,0,0,0,6,5,255,34,32,34,103,255,4,227,88,25,43,245
1773293160.097405,31,175,255,0,0,0,0,0,255,34,44,32,103,255,4,227,202,25,43,245
1773293160.246065,111,64,255,0,15,255,3,3,255,34,44,32,102,255,4,227,207,25,43,245
1773293160.395948,191,210,254,254,255,253,8,15,255,34,44,32,102,255,4,227,206,25,43,244
1773293160.545934,15,99,255,254,255,254,7,16,255,34,46,32,101,255,4,227,226,25,45,245
1773293160.695939,95,244,255,255,255,255,4,9,255,34,62,29,101,255,4,227,140,26,43,244
1773293160.847745,175,133,255,255,255,255,0,0,255,34,76,27,100,255,4,227,24,27,47,245
1773293160.995937,255,23,255,255,255,254,0,0,255,34,80,26,100,255,4,227,60,27,43,245
1773293161.145931,79,168,255,255,255,255,3,6,255,34,80,26,99,255,4,227,60,27,43,244
1773293161.295892,159,57,255,255,255,255,4,15,255,34,80,26,99,255,4,227,60,27,45,244
1773293161.445934,239,202,254,0,0,1,7,19,255,34,80,26,98,255,4,227,67,27,45,245
1773293161.597427,48,91,0,1,15,252,8,18,255,34,88,25,98,255,4,227,154,27,43,240
1773293161.747531,128,237,0,1,15,253,7,11,255,34,102,23,107,255,4,227,44,28,43,240
1773293161.897537,223,126,255,0,0,0,1,0,255,34,116,21,106,255,4,227,173,28,43,241
1773293162.046039,47,15,255,255,255,255,4,3,255,34,116,21,106,255,4,227,178,28,43,240
1773293162.195936,127,161,254,255,255,255,8,14,255,34,116,21,105,255,4,227,178,28,43,240
1773293162.346314,207,50,254,0,0,0,9,18,255,34,116,21,105,255,4,227,179,28,43,241
1773293162.495828,16,195,0,255,255,255,10,18,255,34,121,20,104,255,4,227,234,28,43,240
1773293162.645984,111,84,254,255,255,255,9,12,255,34,135,18,104,255,4,227,124,29,43,240
1773293162.7975569,191,230,255,255,255,255,3,2,255,34,147,16,103,255,4,227,246,29,43,241
1773293162.94751,15,129,255,255,255,254,0,0,255,34,151,15,103,255,4,227,26,30,43,240
1773293163.097446,95,8,255,255,255,255,7,11,255,34,151,15,102,255,4,227,26,30,43,240
1773293163.2459588,175,164,255,255,255,255,11,22,255,34,151,15,102,255,4,227,26,30,43,240
1773293163.3959382,255,53,255,255,255,254,13,22,255,34,155,15,101,255,4,227,58,30,43,240
1773293163.54675,79,199,255,255,255,254,12,16,255,34,169,13,101,255,4,227,207,30,47,240
1773293163.6974158,144,87,6,16,15,247,5,3,255,34,184,10,104,255,4,227,108,31,41,240
1773293163.8474612,239,233,254,254,255,254,0,0,255,34,190,9,104,255,4,227,166,31,41,241
1773293163.9959848,63,122,255,0,0,0,4,4,255,34,190,9,103,255,4,227,164,31,41,240
1773293164.146473,143,11,255,255,255,255,7,15,255,34,190,9,103,255,4,227,164,31,41,241
1773293164.2960188,208,156,7,20,15,242,11,18,255,34,193,9,103,255,4,227,198,31,41,241
1773293164.447662,47,46,255,255,255,255,7,10,255,34,207,7,105,255,4,227,84,32,41,240
1773293164.596095,112,191,5,16,15,248,5,1,255,34,220,5,105,255,4,227,224,32,41,241
1773293164.7474859,207,80,255,255,255,255,0,0,255,34,227,4,107,255,4,227,32,33,43,243
1773293164.897457,31,226,255,255,255,255,6,7,254,34,227,4,107,255,4,227,32,33,41,243
1773293165.047502,111,115,255,255,255,255,10,19,255,34,227,4,106,255,4,227,32,33,43,243
1773293165.1968,191,4,254,255,240,0,16,25,255,34,227,4,105,255,4,227,36,33,41,243
1773293165.3476212,15,150,255,255,255,255,15,23,255,34,233,3,105,255,4,227,102,33,41,243
1773293165.495892,95,39,255,255,255,255,15,17,255,34,247,1,104,255,4,227,238,33,41,243
1773293165.645976,175,184,255,255,255,255,7,0,255,49,4,255,104,255,4,227,122,34,41,241
1773293165.7974222,255,74,255,255,255,254,0,0,255,49,10,254,104,255,4,227,176,34,41,243
1773293165.945992,79,219,255,255,255,255,10,12,255,49,10,254,103,255,4,227,176,34,41,243
1773293166.097248,159,108,254,251,255,249,14,22,255,49,10,254,103,255,4,227,176,34,43,243
1773293166.247539,239,253,254,255,255,254,13,22,255,49,12,253,102,255,4,227,200,34,41,243
1773293166.395977,63,143,255,0,15,255,11,15,255,49,23,252,102,255,4,227,61,35,41,243
1773293166.547512,143,32,255,255,255,255,4,3,255,49,35,250,101,255,4,227,184,35,43,243
1773293166.6960819,223,177,254,255,255,255,0,0,255,49,47,248,101,255,4,227,50,36,43,243
1773293166.874995,47,66,255,255,255,255,0,0,255,49,48,248,100,255,4,227,57,36,43,243
1773293167.02753,143,241,255,255,255,255,9,14,255,49,48,248,100,255,4,227,57,36,43,243
1773293167.175987,223,130,255,0,0,0,10,19,255,49,48,248,99,255,4,227,58,36,43,243
1773293167.3260422,47,20,255,255,255,255,13,20,255,49,53,247,99,255,4,227,114,36,41,243
1773293167.477518,127,165,255,255,255,255,11,13,255,49,66,245,98,255,4,227,250,36,41,243
1773293167.627578,207,54,255,255,255,255,4,0,255,49,81,243,98,255,4,227,142,37,41,243
1773293167.776255,31,200,255,0,0,0,0,0,255,49,88,241,97,255,4,227,214,37,41,243
1773293167.926076,111,89,255,255,255,254,7,3,255,49,88,241,97,255,4,227,214,37,41,243
1773293168.0761118,191,234,255,254,255,254,8,13,255,49,88,241,97,255,4,227,214,37,41,243
1773293168.227448,15,124,255,255,255,255,11,17,255,49,91,241,96,255,4,227,246,37,41,243
1773293168.377616,95,13,255,1,15,254,11,15,255,49,104,239,96,255,4,227,127,38,41,243
1773293168.527487,175,158,255,255,255,255,5,2,255,49,121,236,95,255,4,227,40,39,41,243
1773293168.6775072,255,48,255,255,255,255,7,1,255,49,124,236,95,255,4,227,68,39,41,243
1773293168.827719,79,193,255,255,255,255,10,11,255,49,124,236,94,255,4,227,68,39,41,243
1773293168.9767199,159,82,255,255,255,255,13,17,255,49,124,236,94,255,4,227,68,39,41,243
1773293169.12759,239,228,255,255,255,254,11,14,255,49,125,235,93,255,4,227,84,39,41,243
1773293169.276015,63,117,255,255,255,254,9,8,255,49,137,233,93,255,4,227,212,39,41,243
1773293169.427503,143,7,255,0,15,255,1,0,255,49,151,231,93,255,4,227,91,40,41,243
1773293169.576139,223,152,255,255,255,255,6,2,255,49,153,231,92,255,4,227,106,40,41,243
1773293169.725685,47,41,254,253,255,252,9,9,255,49,153,231,92,255,4,227,106,40,41,243
1773293169.878113,127,187,255,255,255,254,11,11,255,49,154,231,91,255,4,227,128,40,41,243
