time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293107.686917,143,29,255,255,255,254,0,0,255,18,4,118,18,0,4,227,220,13,43,243
1773293107.8371131,223,174,255,255,255,255,0,0,255,18,0,118,18,0,4,227,174,13,43,244
1773293107.986905,47,63,255,255,255,254,1,0,255,2,242,118,17,0,4,227,27,13,43,243
1773293108.1369238,127,209,255,255,255,255,2,5,255,2,231,118,17,0,4,227,178,12,43,244
1773293108.286907,207,98,255,252,255,251,3,10,255,2,222,118,16,0,4,227,86,12,43,244
1773293108.437033,31,243,255,0,15,255,1,7,255,2,222,118,16,0,4,227,90,12,43,243
1773293108.586858,111,133,255,255,255,254,0,0,255,2,222,118,15,0,4,227,90,12,43,243
1773293108.736916,191,22,255,255,255,255,0,0,255,2,222,118,15,0,4,227,90,12,43,243
1773293108.887108,15,168,255,254,255,254,0,0,255,2,221,118,14,0,4,227,80,12,43,244
1773293109.0378938,95,57,255,255,255,255,1,0,255,2,210,117,14,0,4,227,222,11,43,243
1773293109.186924,175,202,255,255,255,255,2,5,255,2,196,117,13,0,4,227,78,11,43,244
1773293109.337055,255,92,255,255,255,255,3,12,255,2,188,117,13,0,4,227,254,10,43,244
1773293109.486161,79,237,255,0,0,0,2,15,255,2,181,117,13,0,4,227,188,10,43,243
1773293109.637037,159,127,255,255,255,255,1,9,255,2,181,117,12,0,4,227,188,10,43,243
1773293109.786895,239,16,255,255,255,255,0,0,255,2,181,117,12,0,4,227,188,10,43,243
1773293109.937248,63,161,254,255,255,254,0,0,255,2,181,117,11,0,4,227,188,10,43,243
1773293110.085608,143,51,255,255,255,255,0,0,255,2,172,117,11,0,4,227,82,10,43,244
1773293110.2354088,223,196,255,0,15,255,4,8,255,2,155,117,10,0,4,227,172,9,43,243
1773293110.385416,47,85,255,255,255,255,6,18,255,2,146,117,10,0,4,227,78,9,43,243
1773293110.535403,127,231,255,2,0,4,3,15,255,2,143,117,9,0,4,227,52,9,43,243
1773293110.685431,207,120,255,0,0,0,1,3,255,2,143,117,9,0,4,227,51,9,43,243
1773293110.8354719,31,9,255,255,255,255,0,0,255,2,143,117,8,0,4,227,51,9,43,243
1773293110.986948,111,155,255,255,255,254,0,0,247,2,141,117,8,0,4,227,32,9,43,243
1773293111.1369421,191,44,255,255,255,255,4,1,255,2,127,116,8,0,4,227,144,8,43,243
1773293111.2871192,15,189,255,255,255,254,9,8,255,2,115,116,7,0,4,227,22,8,43,243
1773293111.435712,95,79,255,255,255,254,9,15,255,2,104,116,7,0,4,227,166,7,45,243
1773293111.586945,175,224,255,253,255,251,7,12,255,2,104,116,6,0,4,227,168,7,43,243
1773293111.735423,255,124,254,255,255,255,2,0,255,2,104,116,6,0,4,227,168,7,43,243
1773293111.88701,79,13,255,255,255,255,0,0,255,2,104,116,5,0,4,227,168,7,43,243
1773293112.037196,159,159,254,255,255,254,3,1,255,2,98,116,5,0,4,227,114,7,45,243
1773293112.187329,239,48,255,0,0,1,23,6,255,2,81,116,4,0,4,227,196,6,43,243
1773293112.337183,63,193,255,253,255,252,18,21,255,2,69,116,4,0,4,227,73,6,43,243
1773293112.487145,143,82,255,1,0,2,17,21,254,2,66,116,3,0,4,227,40,6,43,243
1773293112.6369479,223,227,255,1,0,3,13,10,255,2,66,116,3,0,4,227,40,6,43,243
1773293112.786994,47,117,255,255,255,255,2,0,255,2,66,116,2,0,4,227,40,6,45,243
1773293112.936933,127,6,255,0,0,0,2,0,255,2,66,116,2,0,4,227,38,6,43,243
1773293113.087338,207,151,255,255,255,254,8,0,255,2,57,116,2,0,4,227,210,5,43,243
1773293113.237005,31,40,255,0,0,0,22,10,255,2,42,116,1,0,4,227,56,5,43,243
1773293113.386982,111,185,255,254,255,253,15,18,255,2,31,116,1,0,4,227,200,4,43,243
1773293113.536233,191,75,255,6,0,10,16,15,255,2,28,116,0,0,4,227,172,4,43,243
1773293113.686975,15,220,255,254,255,252,6,2,255,2,28,116,0,0,4,227,171,4,43,243
1773293113.8355432,95,109,255,255,255,255,3,0,255,2,28,116,0,0,4,227,171,4,43,243
1773293113.985589,175,255,255,255,255,255,5,0,255,2,25,116,0,0,4,227,142,4,43,243
1773293114.1362162,255,144,255,255,255,255,17,4,255,2,10,116,255,255,4,227,240,3,43,243
1773293114.2872388,79,34,255,0,0,0,15,10,255,242,253,116,255,255,4,227,101,3,43,243
1773293114.434129,159,179,254,1,0,2,12,13,255,242,248,116,254,255,4,227,46,3,43,243
1773293114.585393,239,68,255,1,0,2,12,8,255,242,248,116,254,255,4,227,46,3,43,243
1773293114.735424,63,214,255,0,15,255,4,0,255,242,248,116,254,255,4,227,46,3,43,243
1773293114.887071,143,103,254,255,255,255,4,0,255,242,247,116,253,255,4,227,36,3,43,243
1773293115.036973,223,248,255,0,0,0,14,3,255,242,234,116,253,255,4,227,160,2,43,243
1773293115.187001,47,138,255,255,255,255,20,10,255,242,219,116,252,255,4,227,12,2,45,242
1773293115.337048,127,27,255,251,255,248,18,16,255,242,208,116,252,255,4,227,156,1,43,243
1773293115.487212,207,172,255,248,255,243,18,13,255,242,208,116,251,255,4,227,152,1,43,243
1773293115.63699,31,62,255,255,255,255,7,0,255,242,208,116,251,255,4,227,152,1,43,243
1773293115.7872288,111,207,255,255,255,255,3,0,255,242,208,116,250,255,4,227,152,1,43,243
