time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293239.6580749,95,33,255,0,0,0,2,255,255,18,228,112,126,254,216,206,134,42,39,240
1773293239.808091,175,178,255,255,255,255,0,221,255,18,232,110,126,254,246,206,134,42,39,240
1773293239.95678,255,67,255,255,255,255,0,170,255,18,232,110,125,254,246,206,134,42,39,240
1773293240.1067379,79,212,255,255,255,254,0,137,255,18,232,110,125,254,246,206,134,42,39,240
1773293240.2566211,159,102,255,255,255,255,0,135,255,18,232,110,124,254,250,206,134,42,37,239
1773293240.406626,224,247,12,31,15,237,0,171,255,18,232,110,130,254,251,206,134,42,37,240
1773293240.556559,63,136,253,250,240,0,0,234,255,18,237,108,133,254,58,207,134,42,37,240
1773293240.708063,143,26,249,241,240,7,1,255,255,18,248,104,129,254,176,207,134,42,39,240
1773293240.8566358,223,171,250,244,240,6,0,255,255,34,2,100,125,254,33,208,134,42,39,240
1773293241.008053,47,61,254,255,240,0,0,177,255,34,10,96,123,254,116,208,134,42,39,240
1773293241.158274,127,217,253,250,240,1,0,178,255,34,11,96,122,254,120,208,134,42,39,240
1773293241.3081212,207,106,255,255,255,255,0,255,255,34,11,96,121,254,120,208,134,42,39,240
1773293241.458091,31,251,254,0,15,255,0,171,255,34,11,96,121,254,120,208,134,42,39,240
1773293241.608177,96,140,0,0,15,252,0,142,255,34,11,96,120,254,124,208,134,42,39,240
1773293241.756599,191,31,255,255,255,255,0,180,255,34,16,94,120,254,174,208,134,42,39,240
1773293241.908135,15,175,255,255,255,255,0,255,255,34,26,90,120,254,29,209,134,42,39,240
1773293242.0581288,95,65,255,255,255,255,0,255,255,34,36,86,119,254,140,209,134,42,39,240
1773293242.208323,175,209,255,255,255,255,2,222,255,34,44,82,119,254,233,209,134,42,39,240
1773293242.358078,255,98,255,0,15,255,0,237,255,34,46,82,118,254,246,209,134,42,39,240
1773293242.5082612,79,244,255,255,255,254,0,255,255,34,46,82,118,254,246,209,134,42,39,240
1773293242.658081,159,133,254,0,0,0,0,187,255,34,46,82,117,254,246,209,134,42,39,240
1773293242.806601,239,23,254,255,255,255,0,161,255,34,46,82,117,254,248,209,134,42,39,240
1773293242.9580958,63,167,255,255,255,254,0,186,255,34,48,81,116,254,16,210,134,42,39,240
1773293243.108067,143,57,254,255,255,255,0,255,255,34,57,77,116,254,118,210,134,42,39,240
1773293243.2580009,223,202,255,255,255,255,0,255,255,34,68,73,115,254,234,210,134,42,39,240
1773293243.4065988,47,91,255,255,255,255,2,255,255,34,74,70,115,254,42,211,134,42,39,240
1773293243.5568378,127,237,255,255,240,0,4,255,255,34,81,67,114,254,123,211,134,42,39,240
1773293243.706638,207,126,255,255,255,255,4,255,255,34,81,67,113,254,120,211,134,42,37,240
1773293243.8566,31,15,255,255,255,255,0,255,255,34,81,67,113,254,120,211,134,42,37,240
1773293244.008161,111,161,255,255,255,255,0,193,255,34,81,67,112,254,120,211,134,42,37,240
1773293244.158255,176,50,2,8,15,252,0,160,255,34,81,67,112,254,124,211,134,42,37,240
1773293244.30816,15,196,255,255,255,254,0,229,255,34,84,66,112,254,160,211,134,42,37,240
1773293244.458099,95,85,255,255,255,255,0,255,255,34,93,62,112,254,0,212,134,42,37,240
1773293244.608196,175,230,255,255,255,255,2,255,255,34,101,58,112,254,93,212,134,42,37,240
1773293244.756813,255,120,255,255,255,255,2,255,255,34,110,55,111,254,184,212,134,42,37,240
1773293244.906625,79,9,255,255,255,255,6,232,255,34,115,53,110,254,238,212,134,42,37,240
1773293245.056695,159,154,255,255,255,255,3,255,255,34,115,53,109,254,238,212,134,42,37,240
1773293245.206623,239,43,255,255,255,255,1,255,255,34,115,53,109,254,238,212,134,42,37,240
1773293245.3580549,63,189,255,255,255,254,0,255,255,34,115,53,108,254,238,212,134,42,37,240
1773293245.508142,128,78,1,4,15,248,0,255,255,34,115,53,108,254,238,212,134,42,37,240
1773293245.6581151,208,223,1,6,15,251,12,237,255,34,115,53,114,254,238,212,134,42,37,240
1773293245.806845,47,113,255,254,255,254,30,255,255,34,115,53,113,254,238,212,134,42,37,240
1773293245.9565928,127,2,255,255,255,255,37,149,255,34,115,53,113,254,238,212,134,42,37,240
1773293246.10813,207,147,255,255,255,254,38,111,255,34,117,52,112,254,14,213,134,42,37,240
1773293246.258133,31,37,246,232,240,13,43,235,255,34,126,48,103,254,105,213,134,42,41,239
1773293246.408122,111,182,255,0,15,255,35,255,255,34,133,45,101,254,191,213,134,42,41,239
1773293246.557406,191,71,245,233,240,12,15,255,255,34,144,40,97,254,49,214,134,42,45,240
1773293246.706634,15,216,252,248,240,3,2,92,255,34,152,36,93,254,140,214,134,42,45,240
